partTypeCode,interchangeNumber
AD,J35424
AD,J35462
AD,J4489
AD,J517
AD,J5546
AD,J5547
AD,J5548
AD,J6380
AD,J6400
AD,J65985
AD,J741
AD,J7475
AD,J8420
AD,J89655
AD,J94173
AD,J94560
AD,J98690
AD,L231
AD,L232
AD,L413
AF,2041
AF,J0032
AF,J1174
AF,J12240
AF,J20181
AF,J20182
AF,J212
AF,J36423
AF,J6358
AF,J637
AF,J87859
AJ,J0004
AJ,J0009
AJ,J209
AJ,J6579
AP,1413
AP,J0010
AP,J0012
AP,J0019
AP,J2191
AP,J45870
AP,J85366
AS,2050
AS,J476
AS,J95365
AU,1287
AU,1389
AU,J0018
AU,J00484
AU,J04501
AU,J04502
AU,J15241
AU,J15616
AU,J17156
AU,J20366
AU,J2356
AU,J2357
AU,J31093
AU,J45223
AU,J54878
AU,J63046
AU,J66352
AU,J96481
AW,J0005
AW,J0010
AW,J0026
AW,J0045
AW,J0046
AW,J0048
AW,J0089
AW,J10172
AW,J10340
AW,J1311
AW,J1312
AW,J21230
AW,J2850
AW,J45512
AW,J9023
BB,J00003
BB,J0023
BB,J0046
BB,J0054
BB,J0070
BB,J0071
BB,J13030
BB,J1327
BB,J1556
BB,J1557
BB,J1568
BB,J2001
BB,J2230
BB,J23235
BB,J23272
BB,J4170
BB,J52448
BB,J5678
BB,J89236
BB,J96585
BC,331
BC,999
BC,J0010
BC,J0029
BC,J0123
BC,J0167
BC,J0236
BC,J10291
BC,J1227
BC,J2211
BC,J24353
BC,J3486
BC,J3489
BC,J4009
BC,J40145
BC,J44532
BC,J52455
BC,J52652
BC,J598
BC,J98221
BC,J98249
BC,J98975
BC,J99106
BC,L242
BC,L634
BC,L7686
BD,J0010
BD,J0047
BD,J0167
BD,J0236
BD,J0237
BD,J0307
BD,J1228
BD,J14243
BD,J2154
BD,J2211
BD,J3486
BD,J35884
BD,J40145
BD,J42817
BD,J48758
BD,J52455
BD,J6934
BD,J7691
BD,J8191
BD,J890
BD,J98806
BD,J99475
BD,L242
BD,L634
BF,1381
BF,1638
BF,J0032
BF,J0034
BF,J0069
BF,J0176
BF,J1148
BF,J5466
BF,J87650
BH,1412
BH,J0042
BH,J0055
BH,J0059
BH,J0060
BH,J13530
BH,J1436
BH,J1486
BH,J15846
BH,J1599
BH,J1611
BH,J17321
BH,J1967
BH,J2414
BH,J24223
BH,J24224
BH,J24451
BH,J2516
BH,J34356
BH,J4843
BH,J51195
BH,J51198
BH,J5540
BH,J6331
BH,J6332
BH,J63371
BH,J63374
BH,J70145
BH,J70956
BH,J7458
BH,J75485
BH,J8579
BH,J8580
BH,J95825
BH,J95826
BH,J95827
BH,J9642
BH,J9762
BQ,1564
BQ,653
BQ,J0006
BQ,J0013
BQ,J0014
BQ,J1188
BQ,J1257
BQ,J1260
BQ,J1292
BQ,J32141
BQ,J32215
BQ,J40855
BQ,J40858
CB,2393
CB,D2801
CB,G1301
